return_date,order_id,sku,asin,quantity
2025-10-30,113-1100156-5937062,UB0101,B0DNNW7MFX,1
2025-10-25,113-4917264-9957800,USP103,B0DNRLX255,1
2025-10-22,114-3204512-9190615,USP102,B0DNRMBNJ4,1
2025-10-21,112-4271917-7348220,UDC101,B0DNRLZ3LP,1
2025-10-17,111-1249420-8126612,USP102,B0DNRMBNJ4,1
2025-10-02,111-5589646-8865053,USP102,B0DNRMBNJ4,1
2025-11-28,113-2992715-5113839,USP101,B0DNRQPDCD,1
2025-11-28,112-6718421-9357018,USP103,B0DNRLX255,1
2025-11-27,112-1381408-0845025,UB0101,B0DNNW7MFX,1
2025-11-26,112-8921689-8274603,UB0101,B0DNNW7MFX,1
2025-11-23,113-0977640-7562658,UBL101,B0DNRMZZM5,1
2025-11-21,113-2646312-6189847,UDC101,B0DNRLZ3LP,1
2025-11-18,112-9048581-3657036,UBW101,B0DNRLVHB6,1
2025-11-18,114-4125204-5032205,UB0101,B0DNNW7MFX,1
2025-11-17,111-0139490-4902639,UDC101,B0DNRLZ3LP,1
2025-11-17,114-7059373-6017852,USP102,B0DNRMBNJ4,1
2025-11-17,111-6082861-7308215,UB0101,B0DNNW7MFX,1
2025-11-15,112-2676095-4949069,UBW101,B0DNRLVHB6,1
2025-11-15,112-1717641-8752201,UB0101,B0DNNW7MFX,1
2025-11-14,112-9605876-6599431,USP102,B0DNRMBNJ4,1
2025-11-14,111-9777065-5579462,UBW101,B0DNRLVHB6,1
2025-11-12,111-5323307-0830632,UBL101,B0DNRMZZM5,1
2025-11-12,111-2513038-4009010,UBW101,B0DNRLVHB6,1
2025-11-11,114-7032892-1615431,UDC101,B0DNRLZ3LP,1
2025-11-11,113-5513970-7667456,USP101,B0DNRQPDCD,1
2025-11-10,113-5182745-8020226,UBW101,B0DNRLVHB6,1
2025-11-09,113-4335918-1557811,UBL101,B0DNRMZZM5,1
2025-11-09,111-8444640-9593858,USP103,B0DNRLX255,1
2025-11-07,114-3787118-4207415,USP102,B0DNRMBNJ4,1
2025-11-06,114-7818014-4206669,USP101,B0DNRQPDCD,1
2025-11-06,112-3999793-4506632,UB0101,B0DNNW7MFX,1
2025-11-01,112-3886680-5949805,UB0101,B0DNNW7MFX,1
2025-11-01,112-2779134-5016246,UDC101,B0DNRLZ3LP,1
2025-11-01,112-0223687-1902602,UDC101,B0DNRLZ3LP,1
